date,market,commodity,price
2006-05-15,Almaty,Potatoes,84.0
2006-05-15,Almaty,Wheat flour (first grade),54.0
2006-05-15,Almaty,Meat (beef),457.0
2006-05-15,Almaty,Milk,72.0
2006-05-15,Kostanay,Potatoes,55.0
2006-05-15,Kostanay,Meat (beef),373.0
2006-05-15,Kostanay,Milk,50.0
2006-05-15,Kostanay,Oil (sunflower),173.0
2006-05-15,Aktau,Potatoes,73.0
2006-05-15,Aktau,Meat (beef),535.0
2006-06-15,Nur-Sultan,Potatoes,73.0
2006-06-15,Nur-Sultan,Wheat flour (first grade),58.0
2006-06-15,Nur-Sultan,Meat (beef),487.0
2006-06-15,Nur-Sultan,Milk,59.0
2006-06-15,Nur-Sultan,Oil (sunflower),184.0
2006-06-15,Almaty,Potatoes,93.0
2006-06-15,Almaty,Wheat flour (first grade),54.0
2006-06-15,Almaty,Meat (beef),471.0
2006-06-15,Almaty,Milk,65.0
2006-06-15,Kostanay,Potatoes,55.0
2006-06-15,Kostanay,Meat (beef),373.0
2006-06-15,Kostanay,Milk,47.0
2006-06-15,Kostanay,Oil (sunflower),172.0
2006-06-15,Aktau,Potatoes,73.0
2006-06-15,Aktau,Wheat flour (first grade),56.0
2006-06-15,Aktau,Meat (beef),505.0
2006-06-15,Aktau,Oil (sunflower),186.0
2006-07-15,Nur-Sultan,Potatoes,73.0
2006-07-15,Nur-Sultan,Wheat flour (first grade),58.0
2006-07-15,Nur-Sultan,Meat (beef),509.0
2006-07-15,Nur-Sultan,Milk,58.0
2006-07-15,Almaty,Potatoes,77.0
2006-07-15,Almaty,Meat (beef),471.0
2006-07-15,Almaty,Milk,65.0
2006-07-15,Almaty,Oil (sunflower),168.0
2006-07-15,Kostanay,Potatoes,55.0
2006-07-15,Kostanay,Wheat flour (first grade),39.0
2006-07-15,Kostanay,Meat (beef),373.0
2006-07-15,Kostanay,Milk,45.0
2006-07-15,Kostanay,Oil (sunflower),170.0
2006-07-15,Aktau,Potatoes,69.0
2006-07-15,Aktau,Meat (beef),505.0
2006-07-15,Aktau,Oil (sunflower),186.0
2006-08-15,Nur-Sultan,Potatoes,73.0
2006-08-15,Nur-Sultan,Meat (beef),509.0
2006-08-15,Nur-Sultan,Milk,58.0
2006-08-15,Nur-Sultan,Oil (sunflower),184.0
2006-08-15,Almaty,Potatoes,83.0
2006-08-15,Almaty,Meat (beef),471.0
2006-08-15,Almaty,Milk,65.0
2006-08-15,Almaty,Oil (sunflower),168.0
2006-08-15,Kostanay,Potatoes,51.0
2006-08-15,Kostanay,Meat (beef),373.0
2006-08-15,Kostanay,Milk,45.0
2006-08-15,Kostanay,Oil (sunflower),168.0
2006-08-15,Aktau,Potatoes,64.0
2006-08-15,Aktau,Meat (beef),505.0
2006-08-15,Aktau,Oil (sunflower),186.0
2006-09-15,Nur-Sultan,Potatoes,57.0
2006-09-15,Nur-Sultan,Meat (beef),509.0
2006-09-15,Nur-Sultan,Milk,60.0
2006-09-15,Nur-Sultan,Oil (sunflower),184.0
2006-09-15,Almaty,Potatoes,71.0
2006-09-15,Almaty,Meat (beef),471.0
2006-09-15,Almaty,Milk,70.0
2006-09-15,Almaty,Oil (sunflower),168.0
2006-09-15,Kostanay,Potatoes,39.0
2006-09-15,Kostanay,Meat (beef),373.0
2006-09-15,Kostanay,Milk,48.0
2006-09-15,Aktau,Potatoes,69.0
2006-09-15,Aktau,Meat (beef),505.0
2006-09-15,Aktau,Oil (sunflower),186.0
2006-10-15,Nur-Sultan,Potatoes,57.0
2006-10-15,Nur-Sultan,Meat (beef),509.0
2006-10-15,Nur-Sultan,Milk,61.0
2006-10-15,Nur-Sultan,Oil (sunflower),184.0
2006-10-15,Almaty,Potatoes,68.0
2006-10-15,Almaty,Meat (beef),474.0
2006-10-15,Almaty,Milk,73.0
2006-10-15,Almaty,Oil (sunflower),168.0
2006-10-15,Kostanay,Potatoes,40.0
2006-10-15,Kostanay,Wheat flour (first grade),39.0
2006-10-15,Kostanay,Meat (beef),365.0
2006-10-15,Kostanay,Milk,48.0
2006-10-15,Kostanay,Oil (sunflower),168.0
2006-10-15,Aktau,Potatoes,69.0
2006-10-15,Aktau,Meat (beef),505.0
2006-11-15,Nur-Sultan,Potatoes,62.0
2006-11-15,Nur-Sultan,Meat (beef),509.0
2006-11-15,Nur-Sultan,Milk,61.0
2006-11-15,Nur-Sultan,Oil (sunflower),184.0
2006-11-15,Almaty,Potatoes,75.0
2006-11-15,Almaty,Meat (beef),480.0
2006-11-15,Almaty,Milk,78.0
2006-11-15,Kostanay,Potatoes,41.0
2006-11-15,Kostanay,Wheat flour (first grade),39.0
2006-11-15,Kostanay,Meat (beef),365.0
2006-11-15,Kostanay,Milk,48.0
2006-11-15,Kostanay,Oil (sunflower),168.0
2006-11-15,Aktau,Potatoes,69.0
2006-12-15,Nur-Sultan,Potatoes,69.0
2006-12-15,Nur-Sultan,Meat (beef),506.0
2006-12-15,Nur-Sultan,Milk,63.0
2006-12-15,Almaty,Potatoes,78.0
2006-12-15,Almaty,Meat (beef),491.0
2006-12-15,Almaty,Milk,81.0
2006-12-15,Almaty,Oil (sunflower),165.0
2006-12-15,Kostanay,Potatoes,52.0
2006-12-15,Kostanay,Meat (beef),365.0
2006-12-15,Kostanay,Milk,51.0
2006-12-15,Kostanay,Oil (sunflower),168.0
2006-12-15,Aktau,Potatoes,69.0
2006-12-15,Aktau,Wheat flour (first grade),54.0
2006-12-15,Aktau,Meat (beef),505.0
2006-12-15,Aktau,Oil (sunflower),186.0
2007-01-15,Nur-Sultan,Potatoes,76.0
2007-01-15,Nur-Sultan,Meat (beef),511.0
2007-01-15,Nur-Sultan,Milk,68.0
2007-01-15,Nur-Sultan,Oil (sunflower),184.0
2007-01-15,Almaty,Potatoes,86.0
2007-01-15,Almaty,Wheat flour (first grade),52.0
2007-01-15,Almaty,Meat (beef),507.0
2007-01-15,Almaty,Milk,83.0
2007-01-15,Almaty,Oil (sunflower),165.0
2007-01-15,Kostanay,Potatoes,54.0
2007-01-15,Kostanay,Wheat flour (first grade),39.0
2007-01-15,Kostanay,Meat (beef),365.0
2007-01-15,Kostanay,Milk,54.0
2007-01-15,Aktau,Potatoes,69.0
2007-01-15,Aktau,Wheat flour (first grade),54.0
2007-01-15,Aktau,Meat (beef),510.0
2007-01-15,Aktau,Oil (sunflower),186.0
2007-02-15,Nur-Sultan,Potatoes,78.0
2007-02-15,Nur-Sultan,Meat (beef),511.0
2007-02-15,Nur-Sultan,Milk,71.0
2007-02-15,Nur-Sultan,Oil (sunflower),184.0
2007-02-15,Almaty,Potatoes,94.0
2007-02-15,Almaty,Wheat flour (first grade),53.0
2007-02-15,Almaty,Meat (beef),507.0
2007-02-15,Almaty,Milk,85.0
2007-02-15,Almaty,Oil (sunflower),165.0
2007-02-15,Kostanay,Potatoes,57.0
2007-02-15,Kostanay,Wheat flour (first grade),39.0
2007-02-15,Kostanay,Meat (beef),365.0
2007-02-15,Kostanay,Milk,56.0
2007-02-15,Kostanay,Oil (sunflower),168.0
2007-02-15,Aktau,Potatoes,75.0
2007-02-15,Aktau,Wheat flour (first grade),56.0
2007-02-15,Aktau,Meat (beef),510.0
2007-02-15,Aktau,Oil (sunflower),188.0
2007-03-15,Nur-Sultan,Potatoes,80.0
2007-03-15,Nur-Sultan,Meat (beef),511.0
2007-03-15,Nur-Sultan,Milk,75.0
2007-03-15,Nur-Sultan,Oil (sunflower),184.0
2007-03-15,Almaty,Potatoes,94.0
2007-03-15,Almaty,Wheat flour (first grade),55.0
2007-03-15,Almaty,Meat (beef),510.0
2007-03-15,Almaty,Milk,85.0
2007-03-15,Almaty,Oil (sunflower),165.0
2007-03-15,Kostanay,Potatoes,59.0
2007-03-15,Kostanay,Wheat flour (first grade),39.0
2007-03-15,Kostanay,Meat (beef),365.0
2007-03-15,Kostanay,Milk,56.0
2007-03-15,Aktau,Potatoes,75.0
2007-03-15,Aktau,Wheat flour (first grade),56.0
2007-03-15,Aktau,Meat (beef),510.0
2007-04-15,Nur-Sultan,Potatoes,84.0
2007-04-15,Nur-Sultan,Meat (beef),511.0
2007-04-15,Nur-Sultan,Milk,75.0
2007-04-15,Nur-Sultan,Oil (sunflower),184.0
2007-04-15,Almaty,Potatoes,90.0
2007-04-15,Almaty,Wheat flour (first grade),56.0
2007-04-15,Almaty,Meat (beef),510.0
2007-04-15,Almaty,Milk,83.0
2007-04-15,Almaty,Oil (sunflower),165.0
2007-04-15,Kostanay,Potatoes,61.0
2007-04-15,Kostanay,Wheat flour (first grade),39.0
2007-04-15,Kostanay,Meat (beef),365.0
2007-04-15,Kostanay,Oil (sunflower),168.0
2007-04-15,Aktau,Potatoes,78.0
2007-04-15,Aktau,Wheat flour (first grade),56.0
2007-04-15,Aktau,Meat (beef),522.0
2007-05-15,Nur-Sultan,Potatoes,84.0
2007-05-15,Nur-Sultan,Meat (beef),549.0
2007-05-15,Nur-Sultan,Milk,75.0
2007-05-15,Nur-Sultan,Oil (sunflower),184.0
2007-05-15,Almaty,Potatoes,100.0
2007-05-15,Almaty,Wheat flour (first grade),56.0
2007-05-15,Almaty,Meat (beef),537.0
2007-05-15,Almaty,Milk,82.0
2007-05-15,Almaty,Oil (sunflower),166.0
2007-05-15,Kostanay,Potatoes,63.0
2007-05-15,Kostanay,Meat (beef),378.0
2007-05-15,Kostanay,Milk,53.0
2007-05-15,Kostanay,Oil (sunflower),168.0
2007-05-15,Aktau,Potatoes,81.0
2007-05-15,Aktau,Wheat flour (first grade),56.0
2007-05-15,Aktau,Meat (beef),522.0
2007-05-15,Aktau,Oil (sunflower),188.0
2007-06-15,Nur-Sultan,Potatoes,91.0
2007-06-15,Nur-Sultan,Meat (beef),549.0
2007-06-15,Nur-Sultan,Milk,67.0
2007-06-15,Nur-Sultan,Oil (sunflower),184.0
2007-06-15,Almaty,Potatoes,103.0
2007-06-15,Almaty,Wheat flour (first grade),56.0
2007-06-15,Almaty,Meat (beef),553.0
2007-06-15,Almaty,Milk,82.0
2007-06-15,Almaty,Oil (sunflower),167.0
2007-06-15,Kostanay,Potatoes,65.0
2007-06-15,Kostanay,Meat (beef),400.0
2007-06-15,Kostanay,Milk,50.0
2007-06-15,Kostanay,Oil (sunflower),168.0
2007-06-15,Aktau,Potatoes,90.0
2007-06-15,Aktau,Wheat flour (first grade),56.0
2007-06-15,Aktau,Meat (beef),596.0
2007-06-15,Aktau,Oil (sunflower),188.0
2007-07-15,Nur-Sultan,Potatoes,86.0
2007-07-15,Nur-Sultan,Wheat flour (first grade),61.0
2007-07-15,Nur-Sultan,Meat (beef),636.0
2007-07-15,Nur-Sultan,Milk,67.0
2007-07-15,Nur-Sultan,Oil (sunflower),184.0
2007-07-15,Almaty,Potatoes,92.0
2007-07-15,Almaty,Meat (beef),580.0
2007-07-15,Almaty,Milk,82.0
2007-07-15,Almaty,Oil (sunflower),168.0
2007-07-15,Kostanay,Potatoes,65.0
2007-07-15,Kostanay,Meat (beef),418.0
2007-07-15,Kostanay,Milk,50.0
2007-07-15,Aktau,Potatoes,84.0
2007-07-15,Aktau,Meat (beef),596.0
2007-07-15,Aktau,Oil (sunflower),188.0
2007-08-15,Nur-Sultan,Potatoes,72.0
2007-08-15,Nur-Sultan,Meat (beef),624.0
2007-08-15,Nur-Sultan,Milk,71.0
2007-08-15,Nur-Sultan,Oil (sunflower),184.0
2007-08-15,Almaty,Potatoes,84.0
2007-08-15,Almaty,Meat (beef),606.0
2007-08-15,Almaty,Milk,82.0
2007-08-15,Almaty,Oil (sunflower),168.0
2007-08-15,Kostanay,Potatoes,60.0
2007-08-15,Kostanay,Wheat flour (first grade),43.0
2007-08-15,Kostanay,Meat (beef),418.0
2007-08-15,Kostanay,Milk,50.0
2007-08-15,Aktau,Potatoes,88.0
2007-08-15,Aktau,Wheat flour (first grade),56.0
2007-08-15,Aktau,Meat (beef),596.0
2007-08-15,Aktau,Oil (sunflower),188.0
2007-09-15,Nur-Sultan,Potatoes,64.0
2007-09-15,Nur-Sultan,Wheat flour (first grade),74.0
2007-09-15,Nur-Sultan,Meat (beef),624.0
2007-09-15,Nur-Sultan,Milk,73.0
2007-09-15,Nur-Sultan,Oil (sunflower),218.0
2007-09-15,Almaty,Potatoes,73.0
2007-09-15,Almaty,Meat (beef),637.0
2007-09-15,Almaty,Milk,94.0
2007-09-15,Almaty,Oil (sunflower),218.0
2007-09-15,Kostanay,Potatoes,49.0
2007-09-15,Kostanay,Wheat flour (first grade),46.0
2007-09-15,Kostanay,Meat (beef),418.0
2007-09-15,Aktau,Potatoes,82.0
2007-09-15,Aktau,Wheat flour (first grade),60.0
2007-09-15,Aktau,Meat (beef),596.0
2007-09-15,Aktau,Oil (sunflower),188.0
2007-10-15,Nur-Sultan,Potatoes,70.0
2007-10-15,Nur-Sultan,Wheat flour (first grade),83.0
2007-10-15,Nur-Sultan,Meat (beef),624.0
2007-10-15,Nur-Sultan,Oil (sunflower),343.0
2007-10-15,Almaty,Potatoes,74.0
2007-10-15,Almaty,Meat (beef),690.0
2007-10-15,Almaty,Milk,105.0
2007-10-15,Kostanay,Potatoes,50.0
2007-10-15,Kostanay,Wheat flour (first grade),58.0
2007-10-15,Kostanay,Meat (beef),420.0
2007-10-15,Kostanay,Milk,53.0
2007-10-15,Kostanay,Oil (sunflower),230.0
2007-10-15,Aktau,Potatoes,81.0
2007-10-15,Aktau,Wheat flour (first grade),76.0
2007-10-15,Aktau,Meat (beef),596.0
2007-11-15,Nur-Sultan,Potatoes,74.0
2007-11-15,Nur-Sultan,Meat (beef),624.0
2007-11-15,Nur-Sultan,Milk,83.0
2007-11-15,Nur-Sultan,Oil (sunflower),395.0
2007-11-15,Almaty,Potatoes,81.0
2007-11-15,Almaty,Wheat flour (first grade),100.0
2007-11-15,Almaty,Meat (beef),765.0
2007-11-15,Almaty,Milk,115.0
2007-11-15,Kostanay,Potatoes,55.0
2007-11-15,Kostanay,Meat (beef),440.0
2007-11-15,Kostanay,Milk,70.0
2007-11-15,Kostanay,Oil (sunflower),340.0
2007-11-15,Aktau,Potatoes,81.0
2007-11-15,Aktau,Wheat flour (first grade),76.0
2007-11-15,Aktau,Meat (beef),596.0
2007-11-15,Aktau,Oil (sunflower),363.0
2007-12-15,Nur-Sultan,Potatoes,76.0
2007-12-15,Nur-Sultan,Meat (beef),624.0
2007-12-15,Nur-Sultan,Milk,83.0
2007-12-15,Almaty,Potatoes,83.0
2007-12-15,Almaty,Meat (beef),803.0
2007-12-15,Almaty,Milk,121.0
2007-12-15,Almaty,Oil (sunflower),360.0
2007-12-15,Kostanay,Potatoes,60.0
2007-12-15,Kostanay,Wheat flour (first grade),62.0
2007-12-15,Kostanay,Meat (beef),456.0
2007-12-15,Kostanay,Milk,81.0
2007-12-15,Kostanay,Oil (sunflower),340.0
2007-12-15,Aktau,Potatoes,81.0
2007-12-15,Aktau,Meat (beef),596.0
2007-12-15,Aktau,Oil (sunflower),363.0
2008-01-15,Nur-Sultan,Potatoes,80.0
2008-01-15,Nur-Sultan,Meat (beef),624.0
2008-01-15,Nur-Sultan,Milk,83.0
2008-01-15,Nur-Sultan,Oil (sunflower),353.0
2008-01-15,Almaty,Potatoes,92.0
2008-01-15,Almaty,Wheat flour (first grade),100.0
2008-01-15,Almaty,Meat (beef),810.0
2008-01-15,Almaty,Milk,128.0
2008-01-15,Almaty,Oil (sunflower),360.0
2008-01-15,Kostanay,Potatoes,60.0
2008-01-15,Kostanay,Wheat flour (first grade),62.0
2008-01-15,Kostanay,Meat (beef),456.0
2008-01-15,Kostanay,Milk,81.0
2008-01-15,Kostanay,Oil (sunflower),300.0
2008-01-15,Aktau,Potatoes,81.0
2008-01-15,Aktau,Meat (beef),596.0
2008-02-15,Nur-Sultan,Potatoes,83.0
2008-02-15,Nur-Sultan,Meat (beef),624.0
2008-02-15,Nur-Sultan,Milk,83.0
2008-02-15,Nur-Sultan,Oil (sunflower),343.0
2008-02-15,Almaty,Potatoes,97.0
2008-02-15,Almaty,Wheat flour (first grade),100.0
2008-02-15,Almaty,Meat (beef),810.0
2008-02-15,Almaty,Milk,131.0
2008-02-15,Almaty,Oil (sunflower),354.0
2008-02-15,Kostanay,Potatoes,65.0
2008-02-15,Kostanay,Meat (beef),456.0
2008-02-15,Kostanay,Milk,81.0
2008-02-15,Kostanay,Oil (sunflower),290.0
2008-02-15,Aktau,Potatoes,93.0
2008-02-15,Aktau,Wheat flour (first grade),76.0
2008-02-15,Aktau,Meat (beef),596.0
2008-03-15,Nur-Sultan,Potatoes,83.0
2008-03-15,Nur-Sultan,Meat (beef),624.0
2008-03-15,Nur-Sultan,Milk,85.0
2008-03-15,Nur-Sultan,Oil (sunflower),343.0
2008-03-15,Almaty,Potatoes,97.0
2008-03-15,Almaty,Wheat flour (first grade),103.0
2008-03-15,Almaty,Meat (beef),799.0
2008-03-15,Almaty,Milk,133.0
2008-03-15,Almaty,Oil (sunflower),351.0
2008-03-15,Kostanay,Potatoes,65.0
2008-03-15,Kostanay,Meat (beef),456.0
2008-03-15,Kostanay,Milk,81.0
2008-03-15,Aktau,Potatoes,93.0
2008-03-15,Aktau,Meat (beef),596.0
2008-03-15,Aktau,Oil (sunflower),341.0
2008-04-15,Nur-Sultan,Potatoes,81.0
2008-04-15,Nur-Sultan,Meat (beef),656.0
2008-04-15,Nur-Sultan,Milk,85.0
2008-04-15,Nur-Sultan,Oil (sunflower),355.0
2008-04-15,Almaty,Potatoes,84.0
2008-04-15,Almaty,Wheat flour (first grade),110.0
2008-04-15,Almaty,Meat (beef),799.0
2008-04-15,Almaty,Milk,136.0
2008-04-15,Almaty,Oil (sunflower),360.0
2008-04-15,Kostanay,Potatoes,66.0
2008-04-15,Kostanay,Meat (beef),460.0
2008-04-15,Kostanay,Milk,81.0
2008-04-15,Aktau,Potatoes,91.0
2008-04-15,Aktau,Wheat flour (first grade),83.0
2008-04-15,Aktau,Meat (beef),596.0
2008-05-15,Nur-Sultan,Potatoes,87.0
2008-05-15,Nur-Sultan,Wheat flour (first grade),118.0
2008-05-15,Nur-Sultan,Meat (beef),697.0
2008-05-15,Nur-Sultan,Milk,85.0
2008-05-15,Nur-Sultan,Oil (sunflower),385.0
2008-05-15,Almaty,Potatoes,84.0
2008-05-15,Almaty,Wheat flour (first grade),110.0
2008-05-15,Almaty,Meat (beef),803.0
2008-05-15,Almaty,Milk,131.0
2008-05-15,Kostanay,Potatoes,66.0
2008-05-15,Kostanay,Wheat flour (first grade),65.0
2008-05-15,Kostanay,Meat (beef),465.0
2008-05-15,Kostanay,Milk,75.0
2008-05-15,Kostanay,Oil (sunflower),290.0
2008-05-15,Aktau,Potatoes,91.0
2008-05-15,Aktau,Meat (beef),634.0
2008-06-15,Nur-Sultan,Potatoes,96.0
2008-06-15,Nur-Sultan,Meat (beef),697.0
2008-06-15,Nur-Sultan,Milk,85.0
2008-06-15,Nur-Sultan,Oil (sunflower),385.0
2008-06-15,Almaty,Potatoes,106.0
2008-06-15,Almaty,Wheat flour (first grade),110.0
2008-06-15,Almaty,Meat (beef),803.0
2008-06-15,Almaty,Milk,125.0
2008-06-15,Kostanay,Potatoes,68.0
2008-06-15,Kostanay,Wheat flour (first grade),69.0
2008-06-15,Kostanay,Meat (beef),479.0
2008-06-15,Kostanay,Milk,70.0
2008-06-15,Kostanay,Oil (sunflower),305.0
2008-06-15,Aktau,Potatoes,127.0
2008-06-15,Aktau,Wheat flour (first grade),83.0
2008-06-15,Aktau,Meat (beef),634.0
2008-07-15,Nur-Sultan,Potatoes,108.0
2008-07-15,Nur-Sultan,Meat (beef),736.0
2008-07-15,Nur-Sultan,Milk,85.0
2008-07-15,Almaty,Potatoes,96.0
2008-07-15,Almaty,Wheat flour (first grade),113.0
2008-07-15,Almaty,Meat (beef),803.0
2008-07-15,Almaty,Milk,120.0
2008-07-15,Almaty,Oil (sunflower),383.0
2008-07-15,Kostanay,Potatoes,72.0
2008-07-15,Kostanay,Wheat flour (first grade),70.0
2008-07-15,Kostanay,Meat (beef),490.0
2008-07-15,Kostanay,Milk,70.0
2008-07-15,Kostanay,Oil (sunflower),310.0
2008-07-15,Aktau,Potatoes,130.0
2008-07-15,Aktau,Meat (beef),696.0
2008-07-15,Aktau,Oil (sunflower),361.0
2008-08-15,Nur-Sultan,Potatoes,96.0
2008-08-15,Nur-Sultan,Meat (beef),736.0
2008-08-15,Nur-Sultan,Milk,85.0
2008-08-15,Almaty,Potatoes,81.0
2008-08-15,Almaty,Meat (beef),800.0
2008-08-15,Almaty,Milk,118.0
2008-08-15,Almaty,Oil (sunflower),383.0
2008-08-15,Kostanay,Potatoes,72.0
2008-08-15,Kostanay,Wheat flour (first grade),70.0
2008-08-15,Kostanay,Meat (beef),500.0
2008-08-15,Kostanay,Milk,70.0
2008-08-15,Kostanay,Oil (sunflower),320.0
2008-08-15,Aktau,Potatoes,113.0
2008-08-15,Aktau,Meat (beef),696.0
2008-08-15,Aktau,Oil (sunflower),361.0
2008-09-15,Nur-Sultan,Potatoes,89.0
2008-09-15,Nur-Sultan,Meat (beef),742.0
2008-09-15,Nur-Sultan,Milk,85.0
2008-09-15,Almaty,Potatoes,76.0
2008-09-15,Almaty,Meat (beef),793.0
2008-09-15,Almaty,Milk,120.0
2008-09-15,Almaty,Oil (sunflower),371.0
2008-09-15,Kostanay,Potatoes,72.0
2008-09-15,Kostanay,Wheat flour (first grade),70.0
2008-09-15,Kostanay,Meat (beef),500.0
2008-09-15,Kostanay,Milk,70.0
2008-09-15,Kostanay,Oil (sunflower),320.0
2008-09-15,Aktau,Potatoes,113.0
2008-09-15,Aktau,Meat (beef),696.0
2008-09-15,Aktau,Oil (sunflower),391.0
2008-10-15,Nur-Sultan,Potatoes,84.0
2008-10-15,Nur-Sultan,Meat (beef),742.0
2008-10-15,Nur-Sultan,Milk,86.0
2008-10-15,Nur-Sultan,Oil (sunflower),404.0
2008-10-15,Almaty,Potatoes,76.0
2008-10-15,Almaty,Meat (beef),793.0
2008-10-15,Almaty,Milk,136.0
2008-10-15,Almaty,Oil (sunflower),371.0
2008-10-15,Kostanay,Potatoes,77.0
2008-10-15,Kostanay,Wheat flour (first grade),70.0
2008-10-15,Kostanay,Meat (beef),500.0
2008-10-15,Kostanay,Milk,70.0
2008-10-15,Aktau,Potatoes,97.0
2008-10-15,Aktau,Wheat flour (first grade),103.0
2008-10-15,Aktau,Meat (beef),696.0
2008-11-15,Nur-Sultan,Potatoes,91.0
2008-11-15,Nur-Sultan,Meat (beef),742.0
2008-11-15,Nur-Sultan,Milk,90.0
2008-11-15,Nur-Sultan,Oil (sunflower),404.0
2008-11-15,Almaty,Potatoes,76.0
2008-11-15,Almaty,Meat (beef),797.0
2008-11-15,Almaty,Milk,141.0
2008-11-15,Almaty,Oil (sunflower),360.0
